Distance,Delay,Area,Power
3,2359.296,27554.6,1110.6
5,13107.2,58921,3141
7,25690.112,110617,6321
9,84934.656,188218.28,10811.88
11,126877.696,299159.08,16828.68
13,177209.344,452732.2,24640.2
15,235929.6,660089,34569
17,606076.928,934239.4,46991.4
19,757071.872,1290051.88,62337.48
21,924844.032,1744253.48,81091.08
23,1109393.408,2315429.8,103789.8
25,1310720,3024025,131025
27,1528823.808,3892341.8,163441.8
29,1763704.832,4944541.48,201739.08
31,2015363.072,6206643.88,246669.48
